#algorithm, MatSize, OpTime, Op-GB/s, KTime, K-GB/s#
CUsparse, 512x512, 0.196909, 10.6504, 0.196534, 10.6707
COO, 512x512, 0.0349532, 59.9988, 0.0345006, 60.7859
CSR gpu, 512x512, 0.0209679, 100.017, 0.0207831, 100.907
block, 512x512, 0.00787814, 266.199, 0.00605933, 346.103
Conflict, 512x512, 0.0111439, 188.188, 0.0106512, 196.893
CUsparse, 1024x1024, 0.0771346, 108.753, 0.0769864, 108.962
COO, 1024x1024, 0.0285338, 293.989, 0.0282132, 297.329
CSR gpu, 1024x1024, 0.0155204, 540.489, 0.0153713, 545.733
block, 1024x1024, 0.0137169, 611.552, 0.00790102, 1061.71
Conflict, 1024x1024, 0.0207215, 404.826, 0.0187982, 446.244
CUsparse, 512x512, 0.0571114, 36.7204, 0.0569467, 36.8266
COO, 512x512, 0.0286505, 73.1978, 0.0282593, 74.211
CSR gpu, 512x512, 0.0154775, 135.497, 0.0153242, 136.853
block, 512x512, 0.005296, 395.988, 0.00396243, 529.259
Conflict, 512x512, 0.0074081, 283.089, 0.00701302, 299.037
CUsparse, 1024x1024, 0.0954055, 87.9258, 0.0952443, 88.0747
COO, 1024x1024, 0.03328, 252.062, 0.0329073, 254.917
CSR gpu, 1024x1024, 0.017575, 477.304, 0.0174029, 482.024
block, 1024x1024, 0.0144592, 580.156, 0.00787379, 1065.38
Conflict, 1024x1024, 0.0201467, 416.377, 0.0186249, 450.398
CUsparse, 1024x1024, 0.0957434, 87.6156, 0.0955126, 87.8273
COO, 1024x1024, 0.0354191, 236.838, 0.0350136, 239.581
CSR gpu, 1024x1024, 0.016053, 522.558, 0.0158771, 528.346
block, 1024x1024, 0.0145266, 577.464, 0.00787862, 1064.73
Conflict, 1024x1024, 0.0201083, 417.172, 0.0186199, 450.519
CUsparse, 1024x1024, 0.0646418, 129.771, 0.0644813, 130.094
COO, 1024x1024, 0.0309146, 271.348, 0.0305234, 274.826
CSR gpu, 1024x1024, 0.0177438, 472.763, 0.0175831, 477.083
block, 1024x1024, 0.0144119, 582.061, 0.00787043, 1065.84
Conflict, 1024x1024, 0.0201051, 417.237, 0.0186183, 450.557
CUsparse, 1024x1024, 0.0627377, 133.709, 0.0625633, 134.082
COO, 1024x1024, 0.031102, 269.713, 0.0307087, 273.167
CSR gpu, 1024x1024, 0.0163499, 513.068, 0.0161864, 518.251
block, 1024x1024, 0.0140269, 598.035, 0.00786794, 1066.18
Conflict, 1024x1024, 0.0200742, 417.88, 0.0186255, 450.383
CUsparse, 1024x1024, 0.0956289, 87.7205, 0.0954327, 87.9008
COO, 1024x1024, 0.0351764, 238.472, 0.0347689, 241.268
CSR gpu, 1024x1024, 0.0184903, 453.675, 0.0183071, 458.217
block, 1024x1024, 0.0146451, 572.793, 0.00786979, 1065.93
Conflict, 1024x1024, 0.0201315, 416.692, 0.0186281, 450.32
CUsparse, 1024x1024, 0.0648443, 129.365, 0.0646431, 129.768
COO, 1024x1024, 0.0313682, 267.424, 0.0309719, 270.846
CSR gpu, 1024x1024, 0.0161379, 519.808, 0.0159693, 525.297
block, 1024x1024, 0.0141889, 591.208, 0.00784938, 1068.7
Conflict, 1024x1024, 0.0200457, 418.474, 0.0185819, 451.441
CUsparse, 1024x1024, 0.065172, 128.715, 0.0650005, 129.055
COO, 1024x1024, 0.0309043, 271.438, 0.0305101, 274.945
CSR gpu, 1024x1024, 0.0162561, 516.029, 0.0160973, 521.12
block, 1024x1024, 0.0140968, 595.072, 0.00785859, 1067.44
Conflict, 1024x1024, 0.0200629, 418.116, 0.0185723, 451.673
CUsparse, 64x64, 0.0534967, 0.612523, 0.0533207, 0.614546
COO, 64x64, 0.0274278, 1.1947, 0.0270449, 1.21162
CSR gpu, 64x64, 0.0120834, 2.71181, 0.0119378, 2.7449
block, 64x64, 0.00266906, 12.277, 0.00255693, 12.8154
Conflict, 64x64, 0.00335562, 9.76512, 0.00326451, 10.0376
CUsparse, 512x512, 0.0959074, 21.8664, 0.0956925, 21.9155
COO, 512x512, 0.0548639, 38.2246, 0.0545085, 38.4738
CSR gpu, 512x512, 0.0267332, 78.4476, 0.026505, 79.123
block, 512x512, 0.00569683, 368.126, 0.00395107, 530.781
Conflict, 512x512, 0.00746688, 280.861, 0.00699008, 300.018
CUsparse, 1024x1024, 0.0949429, 88.3543, 0.0947825, 88.5038
COO, 1024x1024, 0.0328847, 255.091, 0.0324864, 258.219
CSR gpu, 1024x1024, 0.01887, 444.547, 0.0187085, 448.385
block, 1024x1024, 0.0141293, 593.701, 0.00785917, 1067.37
Conflict, 1024x1024, 0.0200775, 417.811, 0.0185785, 451.523
